user_id,segment,registration_date,user_channel,bet_id,vertical,stake_value,result,bet_date,payout,category
420,A,2024-05-22,pago,2,cassino_ao_vivo,7.14,WIN,2025-04-28,14.19,cassino
278,A,2024-12-07,orgânico,3,cassino_ao_vivo,6.74,LOSS,2025-04-12,0.00,cassino
377,B,2024-09-09,pago,6,cassino_ao_vivo,41.03,LOSS,2025-04-25,0.00,cassino
80,A,2024-12-23,pago,9,cassino_ao_vivo,72.18,LOSS,2025-04-10,0.00,cassino
457,B,2024-08-20,orgânico,12,cassino_ao_vivo,95.86,LOSS,2025-05-26,0.00,cassino
11,C,2024-12-17,parceiro,24,cassino_ao_vivo,67.60,LOSS,2025-04-10,0.00,cassino
317,B,2024-05-13,orgânico,26,cassino_ao_vivo,45.19,LOSS,2025-04-12,0.00,cassino
68,C,2024-03-14,orgânico,38,cassino_ao_vivo,79.85,WIN,2025-04-21,159.43,cassino
59,C,2024-10-09,pago,41,cassino_ao_vivo,28.38,WIN,2025-04-24,67.99,cassino
392,C,2024-07-21,pago,44,cassino_ao_vivo,145.89,WIN,2025-05-14,352.33,cassino
461,B,2024-12-18,pago,47,cassino_ao_vivo,2.28,LOSS,2025-04-14,0.00,cassino
220,B,2024-05-23,orgânico,50,cassino_ao_vivo,19.60,WIN,2025-05-15,40.07,cassino
331,B,2024-05-04,orgânico,58,cassino_ao_vivo,100.59,LOSS,2025-05-27,0.00,cassino
482,A,2024-08-24,parceiro,60,cassino_ao_vivo,151.11,LOSS,2025-05-29,0.00,cassino
339,A,2024-05-07,pago,61,cassino_ao_vivo,0.03,LOSS,2025-04-11,0.00,cassino
211,B,2024-12-13,parceiro,66,cassino_ao_vivo,48.53,LOSS,2025-05-09,0.00,cassino
218,A,2024-11-16,pago,70,cassino_ao_vivo,58.98,WIN,2025-04-10,166.93,cassino
432,A,2024-02-14,orgânico,74,cassino_ao_vivo,19.58,LOSS,2025-04-16,0.00,cassino
83,A,2024-06-25,parceiro,75,cassino_ao_vivo,96.41,WIN,2025-07-29,212.84,cassino
141,C,2024-11-11,orgânico,82,cassino_ao_vivo,60.97,WIN,2025-05-17,144.07,cassino
355,C,2024-05-22,pago,94,cassino_ao_vivo,39.09,LOSS,2025-05-17,0.00,cassino
331,B,2024-05-04,orgânico,105,cassino_ao_vivo,22.87,LOSS,2025-04-29,0.00,cassino
365,B,2024-05-27,orgânico,106,cassino_ao_vivo,3.31,LOSS,2025-06-10,0.00,cassino
445,A,2024-09-02,orgânico,110,cassino_ao_vivo,111.19,LOSS,2025-05-05,0.00,cassino
251,B,2024-12-16,pago,121,cassino_ao_vivo,37.14,LOSS,2025-07-24,0.00,cassino
394,C,2024-06-27,pago,123,cassino_ao_vivo,66.66,WIN,2025-06-05,157.86,cassino
355,C,2024-05-22,pago,124,cassino_ao_vivo,22.40,LOSS,2025-04-29,0.00,cassino
